id,low,high,statement
BAP373,tidy,messy,"I leave my surroundings cluttered and disorganized after completing a task."
BAP374,mature,childish,"I frequently react to setbacks with pouting or emotional outbursts."
BAP375,polite,discourteous,"I frequently disregard common manners and speak without regard for others' feelings."
BAP376,supportive,unyielding,"I insist on my own methods and reject all suggestions from others."
BAP377,forgiving,resentful,"I hold grudges and feel bitterness toward people for a long time."
BAP378,active,sedentary,"I prefer leisure activities that involve minimal movement and physical exertion."
BAP379,conventional,radical,"I constantly promote extreme and drastic changes to existing institutions."
BAP380,patient,hasty,"I frequently rush to complete tasks, leading to mistakes and a lack of quality."
BAP381,warm,cold,"I am emotionally distant and rarely show any personal interest in others."
BAP382,clear-headed,confused,"I often feel mentally scattered, unable to focus or think straight."
BAP383,open,closed,"I am very uncomfortable with the idea of sharing my internal life with anyone."
BAP384,generous,stingy,"I am excessively frugal and feel pain at the thought of spending money."
BAP385,calm,intense,"I approach all situations with a high, noticeable level of mental and emotional energy."
BAP386,ethical,unscrupulous,"I prioritize achieving my goals, even if it requires immoral actions."
BAP387,simple,elaborate,"I believe that the best way to do things is in a highly complex and detailed manner."
BAP388,reliable,erratic,"My behavior is highly unpredictable and often inconsistent with my past actions."
BAP389,caring,indifferent,"I feel very little concern or empathy for people who are struggling."
BAP390,optimistic,pessimistic,"I constantly anticipate that things will turn out poorly."
BAP391,spontaneous,measured,"I carefully plan and calculate every action I take."
BAP392,vulnerable,tough,"I rarely let external events affect my emotional state or show weakness."
BAP393,down-to-earth,pompous,"I frequently use overly intellectual or formal language to appear superior."
BAP394,private,public,"I enjoy being recognized and am eager to share details of my life with a wide audience."
BAP395,aware,naïve,"I lack a fundamental understanding of how social situations and hidden power dynamics work."
BAP396,modest,extravagant,"I frequently buy the most expensive and luxurious version of common items."
BAP397,loyal,inconstant,"I quickly lose interest in people and move on to new relationships or endeavors."
BAP398,polite,rude,"I frequently use disrespectful and abrasive language towards people."
BAP399,thoughtful,impulsive,"I often act purely on a sudden whim without considering the potential consequences."
BAP400,friendly,aloof,"I maintain a strictly professional distance and rarely engage in casual conversation."
BAP401,honest,deceitful,"I frequently use lies or fabrications to avoid difficult situations."
BAP402,calm,fidgety,"I find it extremely difficult to sit still and am constantly tapping or shifting."
BAP403,reserved,flirtatious,"I frequently engage in playful, charming behavior to express attraction."
BAP404,organized,scattered,"I approach most tasks with a lack of structure, jumping between different steps."
BAP405,creative,conventional,"I always choose the established, standard way of doing things."
BAP406,stable,unstable,"My emotions are often chaotic, characterized by intense and sudden shifts."
BAP407,simple,abstract,"I am passionate about exploring theoretical concepts that have no immediate practical use."
BAP408,cautious,risky,"I am consistently drawn to activities that involve a high element of personal danger."
BAP409,patient,irritable,"I get easily annoyed and express my frustration quickly and openly."
BAP410,self-sufficient,dependent,"I frequently need the help and validation of others to make decisions."
BAP411,modest,showy,"I enjoy dressing in clothing that is intentionally designed to be eye-catching and dramatic."
BAP412,aware,oblivious,"I am frequently unaware of what is going on around me in social settings."
BAP413,vigilant,neglectful,"I often forget about important appointments and fail to maintain my belongings."
BAP414,supportive,antagonistic,"I frequently challenge and openly contradict the people I am talking to."
BAP415,flexible,inflexible,"I refuse to adapt my plans or methods, even when a situation clearly requires it."
BAP416,clear,obscure,"I intentionally use language that is difficult to understand or interpret."
BAP417,humble,supercilious,"I frequently treat others with a dismissive air, implying their inferiority."
BAP418,diligent,careless,"I perform most tasks hastily and without proper attention to detail."
BAP419,open-minded,dogmatic,"I strictly adhere to a rigid set of beliefs and reject all conflicting information."
BAP420,friendly,withdrawn,"I prefer to avoid social interaction and keep to myself most of the time."
BAP421,simple,complex,"I always look for the most intricate and multi-faceted solutions to problems."
BAP422,calm,dramatic,"I tend to view and react to minor problems as major life crises."
BAP423,leader,submissive,"I prefer to follow the lead of others and avoid taking charge."
BAP424,polite,offensive,"I frequently make jokes or comments that are inappropriate or insulting."
BAP425,generous,greedy,"My main life goal is to acquire as much wealth and as many possessions as possible."
BAP426,reliable,untrustworthy,"I often fail to follow through on my promises and commitments."
BAP427,ethical,unscrupulous,"I am willing to engage in morally questionable activities to get ahead."
BAP428,patient,rushed,"I feel a constant, high-pressure need to complete everything immediately."
BAP429,tough,vulnerable,"I frequently share my insecurities and emotional difficulties with others."
BAP430,optimistic,fatalistic,"I believe that my future is controlled by negative destiny and struggle is pointless."
BAP431,honest,secretive,"I intentionally conceal important facts and opinions from those close to me."
BAP432,humorous,solemn,"I approach almost every situation with a serious, grave, and humorless attitude."
BAP433,conventional,eccentric,"I constantly strive to express myself in highly unusual and non-traditional ways."
BAP434,aware,dense,"I frequently miss simple, obvious points in conversations."
BAP435,responsible,irresponsible,"I often neglect my duties and leave tasks unfinished."
BAP436,calm,anxious,"I often feel a low-grade, persistent sense of worry about general life events."
BAP437,accepting,judgmental,"I frequently criticize and evaluate the behavior and choices of others."
BAP438,thrifty,wasteful,"I often purchase items I don't need and frequently discard things that are still usable."
BAP439,strong,weak,"I easily become discouraged and give up quickly when faced with obstacles."
BAP440,flexible,rigid,"I insist on doing things exactly the same way every time, without exception."
BAP441,private,exhibitionist,"I enjoy being the center of attention and like to shock people with my behavior."
BAP442,patient,impatient,"I feel intense frustration and agitation when I have to wait."
BAP443,stable,volatile,"My moods are very unpredictable and change frequently and dramatically."
BAP444,wary,gullible,"I tend to believe everything I hear without question."
BAP445,modest,pompous,"I frequently speak in an overly formal and self-important manner."
BAP446,open,uncommunicative,"I rarely speak up or share my thoughts in group discussions."
BAP447,caring,callous,"I have very little emotional reaction to the suffering of others."
BAP448,organized,haphazard,"I approach tasks randomly, without any logical order or structure."
BAP449,candid,devious,"I frequently use indirect and manipulative tactics to influence others."
BAP450,simple,ornate,"I enjoy decorating my space with highly detailed, elaborate, and complex designs."
BAP451,supportive,critical,"I frequently find and voice flaws in the opinions and actions of others."
BAP452,brave,timid,"I avoid most situations that involve potential risk or conflict."
BAP453,conventional,experimental,"I constantly try to invent new methods, regardless of their proven success."
BAP454,warm,cold,"I maintain a noticeable emotional distance from people, even those I know well."
BAP455,calm,intense,"I approach every task with a high level of aggressive and passionate energy."
BAP456,polite,rude,"I frequently use abrupt and insensitive language in my interactions."
BAP457,down-to-earth,pretentious,"I often use obscure references and sophisticated vocabulary to sound intelligent."
BAP458,private,vocal,"I frequently share my opinions and thoughts loudly and forcefully."
BAP459,loyal,inconstant,"I struggle to maintain focus on any single project or relationship for a long time."
BAP460,thrifty,extravagant,"I often purchase the most expensive available option for simple items."
BAP461,clear-headed,confused,"I frequently struggle to think clearly and feel mentally muddled."
BAP462,trusting,suspicious,"I always assume that other people have hidden motives or are trying to deceive me."
BAP463,patient,testy,"I am easily bothered and frequently express my minor annoyances to others."
BAP464,assertive,passive,"I almost always let others make decisions and take the lead in group settings."
BAP465,kind,mean,"I often make deliberately unpleasant or nasty remarks to people."
BAP466,simple,abstract,"I am fascinated by concepts that are purely theoretical and unrelated to real life."
BAP467,modest,boastful,"I constantly talk about my successes and talents to anyone who will listen."
BAP468,aware,oblivious,"I rarely notice the emotional states or needs of the people around me."
BAP469,responsible,neglectful,"I frequently ignore the need for maintenance and let things fall into disrepair."
BAP470,spontaneous,cautious,"I meticulously plan every detail of my life and rarely act on impulse."
BAP471,open-minded,closed-minded,"I immediately dismiss any information that contradicts my strongly held beliefs."
BAP472,humorous,dry,"I rarely make jokes and prefer a straightforward, serious conversation style."
BAP473,ethical,unscrupulous,"I prioritize achieving success through any means necessary, moral or otherwise."
BAP474,friendly,hostile,"I approach new people with a natural sense of resentment and antagonism."
BAP475,calm,excitable,"I react to most small events with an exaggerated burst of enthusiasm."
BAP476,forgiving,resentful,"I continue to feel bitterness toward those who have wronged me for a long time."
BAP477,candid,guarded,"I carefully protect my private thoughts and feelings from others."
BAP478,leader,follower,"I am most comfortable when I am simply following instructions and avoiding control."
BAP479,reliable,undependable,"I frequently forget my obligations and cannot be relied upon to follow through."
BAP480,optimistic,pessimistic,"I anticipate that negative events are the most probable outcome in every situation."
BAP481,private,public,"I enjoy having my personal life and achievements displayed for everyone to see."
BAP482,mature,immature,"I frequently act in a silly, frivolous, or childish manner."
BAP483,vigilant,careless,"I frequently miss deadlines and overlook important requirements in my work."
BAP484,brave,nervous,"I feel a strong sense of fear and hesitation when facing new or difficult situations."
BAP485,tough,sensitive,"I am easily hurt by criticism and frequently take minor comments personally."
BAP486,subtle,obvious,"I prefer to communicate my feelings and intentions in a clear, overt, and simple way."
BAP487,simple,complex,"I always search for highly intricate and detailed solutions to everyday problems."
BAP488,honest,deceitful,"I frequently use misleading statements to conceal my true intentions."
BAP489,trusting,suspicious,"I always assume that people's generous actions are driven by questionable motives."
BAP490,dependable,unreliable,"I am likely to forget or fail to follow through, even if I promise to do something."
BAP491,spiritual,materialistic,"I place my highest value on physical wealth and possessions."
BAP492,spontaneous,planned,"I meticulously plan every detail of a holiday six months in advance."
BAP493,traditional,experimental,"When cooking, I constantly try new, weird combinations."
BAP494,calm,excitable,"I react to surprising news with screaming and jumping."
BAP495,practical,theoretical,"When solving a problem, I focus on the abstract concepts behind it."
BAP496,loyal,traitorous,"If my friend makes a mistake, I turn them over to authority."
BAP497,humble,arrogant,"After a big success, I openly boast about my superiority."
BAP498,modest,extravagant,"I pay the maximum cost for a highly specialized hair styling."
BAP500,natural,synthetic,"I generally believe that modern, manufactured solutions are superior to traditional or organic methods."
